ExampleDataset Power Curve
       8.0	      14.0
       8.5	      11.7
       9.0	       9.6
       9.5	       8.3
      10.0	       8.2
      10.5	       6.9
      11.0	       6.6
      11.5	       5.9
      12.0	       5.1
      12.5	       4.7
      13.0	       3.7
      13.5	       2.5
      14.0	       2.5
      14.5	       2.5
      15.0	       2.5
      15.5	       2.5
      16.0	       2.5
      16.5	       2.5
      17.0	       2.5
      17.5	       2.5
      18.0	       2.5
      18.5	       2.5
      19.0	       2.5
      19.5	       2.5
      20.0	       2.5
      20.5	       2.5
      21.0	       2.5
      21.5	       2.5
      22.0	       2.5
      22.5	       2.5
      23.0	       2.5
      23.5	       2.5
      24.0	       2.5
      24.5	       2.5
      25.0	       2.5
      25.5	       2.5
      26.0	       2.5
      26.5	       2.5
      27.0	       2.5
      27.5	       2.5
      28.0	       2.5
      28.5	       2.5
      29.0	       2.5
      29.5	       2.5

ExampleDataset Lower limit 
          	       0.0
       0.0	      22.6
       0.5	      22.6
       1.0	      22.6
       1.5	      22.6
       2.0	      22.6
       2.5	      22.6
       3.0	      22.6
       3.5	      22.6
       4.0	      42.1
       4.5	      79.8
       5.0	     113.8
       5.5	     166.7
       6.0	     221.5
       6.5	     286.3
       7.0	     361.1
       7.5	     485.0
       8.0	     603.1
       8.5	     752.0
       9.0	     897.5
       9.5	    1037.8
      10.0	    1162.8
      10.5	    1314.3
      11.0	    1451.5
      11.5	    1566.6
      12.0	    1705.8
      12.5	    1846.1
      13.0	    1919.7
      13.5	    1999.4
      14.0	    1999.4
      14.5	    1999.4
      15.0	    1999.4
      15.5	    1999.4
      16.0	    1999.4
      16.5	    1999.4
      17.0	    1999.4
      17.5	    1999.4
      18.0	    1999.4
      18.5	    1999.4
      19.0	    1999.4
      19.5	    1999.4
      20.0	    1999.4
      20.5	    1999.4
      21.0	    1999.4
      21.5	    1999.4
      22.0	    1999.4
      22.5	    1999.4
      23.0	    1999.4
      23.5	    1999.4
      24.0	    1999.4
      24.5	    1999.4
      25.0	    1999.4
      25.5	    1999.4
      26.0	    1999.4
      26.5	    1999.4
      27.0	    1999.4
      27.5	    1999.4
      28.0	    1999.4
      28.5	    1999.4
      29.0	    1999.4
      29.5	    1999.4

ExampleDataset Upper limit 
          	       0.0
       0.0	      41.4
       0.5	      41.4
       1.0	      41.4
       1.5	      41.4
       2.0	      41.4
       2.5	      41.4
       3.0	      41.4
       3.5	      41.4
       4.0	      77.9
       4.5	     130.2
       5.0	     186.2
       5.5	     261.3
       6.0	     348.5
       6.5	     441.7
       7.0	     548.9
       7.5	     675.0
       8.0	     798.9
       8.5	     952.0
       9.0	    1088.5
       9.5	    1226.2
      10.0	    1369.2
      10.5	    1509.7
      11.0	    1657.5
      11.5	    1763.4
      12.0	    1889.2
      12.5	    2000.0
      13.0	    2000.0
      13.5	    2100.6
      14.0	    2100.6
      14.5	    2100.6
      15.0	    2100.6
      15.5	    2100.6
      16.0	    2100.6
      16.5	    2100.6
      17.0	    2100.6
      17.5	    2100.6
      18.0	    2100.6
